labname,Address,country,affiliation,status,diagnostic,patient,research,latitude,longitude,absl4,acl4,containment,date,focus,size,type,urban,labtype
Istituto Nationale Malattei Infettive (INMI) Lazzaro Spallanzani," Via Portuense, 292, 00149 Roma", Italy,National Institute for Infectious Disease,Operational,,,,41.87,12.46,No,No,Suit,2000,Human,,Public health,Yes,BSL4
National Veterinary Institute, Bülowsvej 27 DK-1790 Kopenhagen Denmark., Denmark,Technical University of Denmark,Operational,Yes,No,Research: Yes,55.68,12.55,,,,,Human,,University,Yes,BSL3+
"RKI Centre for Biological Threats and Special Pathogens (Zentrum für Biologische Gefahren und Spezielle Pathogene, ZBS)"," Nordufer 20, 13353 Berlin", Germany,"Robert Koch Institute, Federal Ministry of Health",Operational,,,,52.54,13.35,No,No,Suit,2018,Human,330 SqM,Public Health,Yes,BSL4
Friedrich Loeffler Institute (FLI) (Federal Research Institute for Animal Health)," Südufer 10, D-17493 Greifswald – Insel Riems", Germany,Federal Ministry of Food and Agriculture,Operational,,,,54.18,13.36,Yes,No,Suit,2019,Both,405 SqM,Public Health,No,BSL4
Emerging Viral Diseases Unit (L’Unité des Maladies Virales Emergentes)(UMVE)," 9HMJ+GQH, Franceville, Gabon", Gabon,Ministry of the Arm Forces,Operational,Yes,No,Research: Yes,-1.62,13.58,2008,Human,,,,,Public Health,Yes,BSL3+
Emerging Viral Diseases Unit (L’Unité des Maladies Virales Emergentes) (UMVE)," 9HMJ+GQH, Franceville, Gabon", Gabon,Ministry of the Arm Forces,Operational,,,,-1.62,13.58,No,No,Glove box,2008,Human,,Public Health,Yes,BSL4
Laboratory for Biological Monitoring and Protection," Kamenná 71, 262 31 Milín, Czech Republic", Czech Republic,"National Institute for Nuclear, Chemical and Biological Protection",Operational,,,,49.63,14,No,No,Suit,2007,Human,28 SqM,Defense,No,BSL4
The Laboratory for Diagnosis of Zoonoses at the Institute of Microbiology and Immunology," Zaloška 4, 1000 Ljubljana", Slovenia,"Faculty of Medicine, University of Ljubljana",Operational,Yes,No,Research: Yes,46.05,14.52,,,,,Animal,,University,Yes,BSL3+
Medical University Graz, Medizinische Universität Graz Auenbruggerplatz 2 8036 Graz Österreich, Austria,The Medical University of Graz,Operational,Yes,No,Research: Yes,47.08,15.47,,,,,Human,,University,Yes,BSL3+
Institute for Veterinary Medicine (AGES Mödling), Robert Koch-Gasse 17 2340 Mödling, Austria,Austrian Agency for Health and Food Safety,Operational,Yes,No,Research: Yes,48.08,16.31,,,,,Both,,Public Health,Yes,BSL3+
"Department for Biological Defence, Military Institute of Health"," 561 66 Techonin, Czech Republic", Czech Republic,Military Institute of Health,Operational,,,,50.06,16.61,No,No,Suit,2007,Human,50 SqM,Defense,No,BSL4
High Containment Laboratory," Public Health Agency of Sweden, SE-17182 Solna, Sweden", Sweden,"Folkhälsmyndigheten (FOHM), Public Health Agency of Sweden",Operational,,,,59.35,18.02,No,No,Suit,2001,Human,136 SqM,Public Health,Yes,BSL4
Szentágothai Research Center," 20 Ifjúság útja, Pécs, H-7624, Hungary", Hungary,"Institute of Biology, Faculty of Sciences, University of Pécs, Pécs",Operational,,,,46.08,18.2,No,No,Suit,,Animal,55 SqM,University,Yes,BSL4
Institute of Biotechnology," Jana Bażyńskiego 8, 80-309 Gdańsk, Poland", Poland,University of Gdansk,Operational,No,No,Research: Yes,54.39,18.58,,,,,Human,,University,Yes,BSL3+
National Biosafety Laboratory (NBL) (Nemzeti Biztonsági Laboratórium) (OKI)," 1097 Budapest, Albert Flórián út 2-6", Hungary,National Public Health Center (former National Center for Epidemiology),Operational,,,,47.48,19.09,No,No,Suit,2007,Human,164 SqM,Public Health,Yes,BSL4
The Malopolska Centre of Biotechnology Laboratory of Virology," 7a Gronostajowa Str 30-387 Kraków, Poland", Poland,Jagiellonian University,Operational,Yes,No,Research: Yes,50.03,19.9,,,,,Human,,University,Yes,BSL3+
The National Institute for Infectious Diseases “Matei Balș”- Centre for Biomolecular Applied Research in Infectious Diseases," Strada Doctor Calistrat Grozovici 1, București 021105, Romania", Romania,Ministry of Health,Operational,Yes,Yes,Research: Yes,44.46,26.11,,,,,Human,,Public Health,Yes,BSL3+
Republican Research and Practical Center for Epidemiology and Microbiology (RPPCM)," 23 Filimonova St., Minsk", Belarus,Belarus Ministry of Health,Operational,,,,53.92,27.63,No,No,Glove box,2009,Human,1589 SqM,Public Health,Yes,BSL4
"Center for Emerging Zoonotic and Parasitic Diseases, Special Viral Pathogens Laboratory"," 1 Modderfontein Road, Sandringham, Johannesburg 2192", South Africa,"National Institute for Communicable Diseases (NICD), a Division of the National Health Laboratory Service (NHLS)",Operational,,,,-26.13,28.12,No,No,Suit,1979,Human,,Public Health,Yes,BSL4
The Centre for Viral Zoonoses (CVZ)," Lynnwood Rd, Hatfield, Pretoria, 0002, South Africa", South Africa,University of Pretoria,Operational,Yes,No,Research: Yes,-25.75,28.23,,,,,Both,,University,Yes,BSL3+
Veterinary Faculty - Virology Department," Ziraat Mah., Şht. Ömer Halisdemir Bulvarı, 06110 ltındağ/Ankara/Türkiye", Turkey,Ankara University,Operational,Yes,No,Research: Yes,39.96,32.86,,,,,Both,,University,Yes,BSL3+
48th Central Scientific Research Institute Sergiev Posad," 48th Central Scientific Research Institute Sergiev Posad, 141306, Russian Federation", Russian Federation,Ministry of Defense,Operational,,,,56.26,38.12,No,No,Unknown,1979,Human,,Defense,No,BSL4
National Health Laboratory," 7090 King Abdulaziz Rd, Al Aarid, DISTRICT 13351, Saudi Arabia", Saudi Arabia,Saudi Ministry of Health,Planned,,,,24.93,46.59,Unknown,No,Suit,Announced 2015,Human,,Public Health,No,BSL4
Microbial Containment Complex (MCC)," 130, MCC, 1, Pashan - Sus Rd, Pashan, Pune, Maharashtra 411021, India",India, National Institute of Virology, Operational,,,,18.54,73.79,No,No,Suit,2012,Human,848 SqM,Public Health,Yes,BSL4
Rajiv Gandhi Centre for Biotechnology (RGCB)," Thycaud Post, Poojappura, Thiruvananthapuram - 695 014, Kerala, India",India,Rajiv Gandhi Centre for Biotechnology (RGCB),Planned,,,,8.49,76.97,Unknown,Unknown,Unknown,Announced 2020,Human,,Public Health,Yes,BSL4
National Institute of High Security Animal Diseases (NIHSAD),"Anand Nagar, Bhopal- 462 022 (MP), INDIA",India,Indian Council of Agricultural Research,Operational,,,,23.25,77.49,Yes,No,Unknown,,Animal,,Public Health,Yes,BSL4
Advanced Biological Defense Research Centre (ABDRC), Jhansi Road Gwalior 474002,India," Defense Research and Development Establishment, Ministry of Defense", Planned,,,,26.21,78.18,Unknown,Unknown,Unknown,Announced 2021,Human,,Defense,Yes,BSL4
State Research Centre of Virology and Biotechnology (VECTOR)," 630559, settlement Koltsovo, Novosibirsk region, Russia", Russian Federation,Russian Federal Service for Surveillance on Consumer Rights Protection and Human Wellbeing,Operational,,,,54.94,83.23,No,No,Suit,Late 1980s,Human,1440 SqM,Public Health,No,BSL4
Directorate of Foot and Mouth Disease (FMD)," Arugul, Jatni, Bhubaneswar-752050 District- Khorda, Odisha (India )",India, Indian Council of Agricultural Research (ICAR), Operational,Yes,Yes,Research: Yes,20.13,85.68,,,,,Both,,Public Health,No,BSL3+
Regional Reference Laboratory for FMD in South East Asia National Institute of Animal Health," 1213/1 Moo 11, Pakchong, Nakhonratchasima,30130 Thailand", Thailand,Department of Livestock Development,Operational,Yes,No,Research: Yes,14.7,101.43,,,,2004,Animal,,Public Health,No,BSL3+
Institut Pasteur du Laos," Samsenthai Road, Ban Kao-Gnot, Sisattanak district, P.O Box 3560, Vientiane, Lao PDR.", Laos,Ministry of Health,Operational,Yes,Yes,Research: Yes,17.96,102.62,,,,2011,Human,,Public Health,Yes,BSL3+
Defence Medical and Environmental Research Institute," 27 Medical Dr, Singapore 117510", Singapore,DSO National Laboratories,Operational,No,No,Research: Yes,1.3,103.78,,,,,Both,,Defense,Yes,BSL3+
NUS Yong Loo Lin School of Medicine," 1E Kent Ridge Road, Singapore 119228 NUHS Tower Block, Level 11", Singapore,National University of Singapore,Operational,Yes,Yes,Research: Yes,1.3,103.78,,,,,Human,,University,Yes,BSL3+
DSO National Lab," 11 Stockport Road, Singapore 117605", Singapore,Defense Science Organization,Planned,,,,1.29,103.79,Unknown,No,Unknown,Announced 2021; Expected 2025,Human,,Defense,Yes,BSL4
Institute of Preventive Medical Research (IPMR)," XingFeng Rd., Bade Dist., Taoyuan City 33448, Taiwan (R.O.C.)", Taiwan,National Defense University,Operational,,,,24.94,121.31,No,No,Unknown,,Human,,Defense,Yes,BSL4
National Defense Medical Center Institutes of Preventive Medicine (IPM)," No. 161號, Section 6, Minquan E Rd, Neihu District, Taipei City, Taiwan 114", Taiwan,The Republic of China Armed Forces (ROC),Operational,Yes,Yes,Research: Yes,25.07,121.6,,,,,Human,,Defense,Yes,BSL3+
International Vaccine Institute-The headquarters of the IVI on the campus.," IVI, SNU Research Park, San 4-8, Bongcheon 7-dong, Gwanak-gu, Seoul, South Korea, 151-818", Republic of Korea,Seoul National University,Operational,Yes,No,Research: Yes,37.46,126.96,,,,2008,Human,,University,Yes,BSL3+
"Osong BSL-4 Laboratory, Korea Centers for Disease"," Osong Health Technology Administration Complex, 187, Osongsaengmyeong 2-ro, Osong-eup, Heungdeok-gu, Cheongju-si. Chungcheongbuk-do, 28159, Republic of Korea", Republic of Korea,Korean Disease Control and Prevention Agency,Operational,,,,36.64,127.33,No,No,Suit,2017,Human,300 SqM,Public Health,Yes,BSL4
Nagasaki University BSL-4," 1-14 Bunkyo, Nagasaki City", Japan,Nagasaki University,Planned,,,,32.79,129.87,Unknown,Unknown,Unknown,,Human,1000 SqM,University,Yes,BSL4
"Murayama Annex, National Institute of Infectious Diseases (NIID)"," Gakuen4-7-1, Musashimurayama, Tokyo, 208-0011", Japan,"Ministry of Health, Labour and Welfare",Operational,,,,35.74,139.4,No,No,Glove box,2015,Human,,Public Health,Yes,BSL4
RIKEN BioResource Research Centre," 3-1-1, Koyadai, Tsukuba-shi, Ibaraki, 305-0074", Japan,The Institute of Physical and Chemical Research (RIKEN),Operational,,,,36.02,140.12,No,No,Unknown,,Human,164 SqM,Private,Yes,BSL4
Australian Centre for Disease Preparedness (formerly Australian Animal Health Laboratory), 5 Portarlington Road East Geelong VIC, Australia,Commonwealth Scientific and Industrial Research Organization (CSIRO),Operational,,,,-38.15,144.39,Yes,Yes,Suit,1985,Animal,469 SqM,Public Health,Yes,BSL4
National High Security Quarantine Laboratory," Victorian Infectious Diseases Reference Laboratory (VIDRL), 792 Elizabeth Street, Melbourne, 3000", Australia,Peter Doherty Institute for Infection and Immunity,Operational,,,,-37.8,144.96,No,No,Suit,2014,Human,90 SqM,Public Health,Yes,BSL4
"Emerging Infectious Diseases and Biohazard Response Unit (EIBRU), Westmead Hospital"," Hawkesbury Rd, Westmead NSW 2145", Australia,"Institute for Clinical Pathology and Medical Research, NSW Health Pathology",Operational,,,,-33.8,150.99,No,No,Suit,2007,Human,86 SqM,Public Health,Yes,BSL4
Queensland Health Forensic Scientific Services (QHFSS)," 39 Kessels Road, Coopers Plains QLD 4108", Australia,Queensland Department of Health (State Government),Operational,,,,-27.56,153.04,No,No,Unknown,,Human,150 SqM,Public Health,Yes,BSL4
National Biocontainment Laboratory “Te Whare Rerenga Koiora o Aotearoa”," 66 Ward Street, Wallaceville, Upper Hutt 5018, New Zealand", New Zealand,Ministry Primary Industries,Operational,Yes,No,Research: Yes,-41.13,175.06,,,,2021,Both,,Public Health,No,BSL3+
